Wall time,Step,Value
1549739671.843704,1072433,57.0
1549739674.0619378,1072962,60.0
1549739680.756476,1074561,33.0
1549739686.127203,1075838,28.0
1549739686.9625778,1076038,58.0
1549739692.4514282,1077350,80.0
1549739715.253123,1082812,139.0
1549739720.440751,1084066,145.0
1549739730.183038,1086413,63.0
1549739735.527931,1087692,64.0
1549739741.066601,1089008,53.0
1549739751.23464,1091424,16.0
1549739758.308515,1093116,31.0
1549739770.4992561,1096021,67.0
1549739773.654314,1096762,39.0
1549739780.413874,1098381,27.0
1549739781.934649,1098744,38.0
1549739785.5361228,1099591,62.0
1549739790.711308,1100823,53.0
1549739791.791866,1101081,13.0
1549739794.933727,1101827,24.0
1549739797.5427551,1102450,63.0
1549739798.884143,1102768,71.0
1549739806.639392,1104608,36.0
1549739806.789532,1104644,36.0
1549739810.651198,1105564,58.0
1549739821.963413,1108245,31.0
1549739825.120119,1108994,57.0
1549739830.347573,1110230,15.0
1549739830.602077,1110291,61.0
1549739832.4239511,1110726,53.0
1549739834.848497,1111297,44.0
1549739837.7367082,1111983,56.0
1549739842.3382132,1113087,98.0
1549739843.210603,1113293,58.0
1549739846.87538,1114167,45.0
1549739850.909827,1115127,82.0
1549739854.906089,1116079,29.0
1549739858.0993578,1116841,37.0
1549739860.584631,1117435,64.0
1549739861.195762,1117581,44.0
1549739864.360658,1118334,50.0
1549739864.588898,1118389,55.0
1549739865.57409,1118626,27.0
1549739872.27166,1120220,73.0
1549739878.523537,1121712,59.0
1549739885.895145,1123469,60.0
1549739889.139345,1124241,47.0
1549739897.635286,1126259,44.0
1549739909.749355,1129143,43.0
1549739910.364479,1129288,41.0
1549739914.83136,1130350,30.0
1549739925.96136,1132998,9.0
1549739931.912978,1134419,31.0
1549739932.631896,1134591,59.0
1549739942.289058,1136898,12.0
1549739954.42479,1139794,72.0
1549739958.049053,1140664,53.0
1549739959.846695,1141087,73.0
1549739961.717864,1141530,60.0
1549739972.3807948,1144061,56.0
1549739973.015608,1144213,20.0
1549739973.707008,1144376,56.0
1549739976.401532,1145019,29.0
1549739981.692655,1146280,38.0
1549739986.239648,1147351,59.0
1549739987.955722,1147762,55.0
1549739992.042122,1148728,32.0
1549739995.8101099,1149622,17.0
1549739998.717332,1150316,35.0
1549740005.357523,1151893,59.0
1549740010.05216,1152986,49.0
1549740010.69101,1153139,44.0
1549740013.244092,1153741,40.0
1549740014.099303,1153941,57.0
1549740024.0252979,1156290,73.0
1549740024.179326,1156326,36.0
1549740028.526461,1157364,47.0
1549740029.119303,1157506,55.0
1549740030.932141,1157939,21.0
1549740031.1695411,1157996,57.0
1549740032.244576,1158252,43.0
1549740036.090366,1159166,45.0
1549740036.568278,1159281,51.0
1549740040.0249019,1160102,22.0
1549740052.200775,1162991,49.0
1549740053.5272708,1163306,58.0
1549740060.361405,1164932,53.0
1549740069.2219899,1167037,64.0
1549740074.830194,1168367,44.0
1549740080.783066,1169785,56.0
1549740082.09406,1170099,52.0
1549740085.8959832,1170997,17.0
1549740093.329597,1172765,39.0
1549740093.501122,1172806,41.0
1549740096.3696609,1173494,103.0
1549740098.938124,1174108,35.0
1549740102.0881212,1174860,43.0
1549740105.1448262,1175578,51.0
1549740106.575294,1175920,67.0
1549740110.908459,1176922,49.0
1549740111.769273,1177128,52.0
1549740117.2397718,1178434,72.0
1549740119.7704582,1179038,45.0
1549740134.457654,1182552,52.0
1549740144.352621,1184932,1057.0
1549740153.527661,1187130,67.0
1549740161.1233978,1188937,38.0
1549740168.2731361,1190648,507.0
1549740168.555222,1190715,34.0
1549740169.383722,1190915,200.0
1549740185.985712,1194899,50.0
1549740188.831807,1195571,13.0
1549740190.3498392,1195934,15.0
1549740197.3796759,1197600,60.0
1549740199.624851,1198137,74.0
1549740200.369249,1198314,13.0
1549740201.123075,1198492,20.0
1549740204.139462,1199210,47.0
1549740215.1009521,1201834,65.0
1549740216.8338501,1202245,57.0
1549740222.288665,1203551,92.0
1549740222.526006,1203608,57.0
1549740223.6764412,1203874,71.0
1549740225.098159,1204216,40.0
1549740228.4091442,1205015,479.0
1549740239.1592362,1207606,92.0
1549740240.078908,1207818,13.0
1549740241.244721,1208098,32.0
1549740251.3446841,1210529,77.0
1549740263.3807518,1213424,137.0
1549740269.194232,1214821,68.0
1549740277.794681,1216873,72.0
1549740278.020624,1216927,54.0
1549740278.235882,1216976,49.0
1549740286.02244,1218830,55.0
1549740289.8619268,1219752,45.0
1549740305.9910688,1223628,83.0
1549740308.910571,1224326,66.0
1549740333.568971,1230247,108.0
1549740351.7343512,1234620,71.0
1549740352.3974578,1234778,43.0
1549740363.227088,1237369,69.0
1549740368.419999,1238614,94.0
1549740377.4757388,1240765,58.0
1549740386.6216698,1242962,45.0
1549740388.2337768,1243349,49.0
1549740390.612475,1243918,60.0
1549740395.1438951,1245001,18.0
1549740400.976338,1246401,74.0
1549740406.983896,1247847,68.0
1549740408.108106,1248116,50.0
1549740421.829346,1251438,3000.0
1549740491.309085,1268292,119.0
1549740496.3376498,1269507,467.0
1549740540.489782,1280183,119.0
1549740542.754019,1280724,108.0
1549740566.469323,1286487,55.0
1549740587.441623,1291554,147.0
1549740589.4778318,1292044,43.0
1549740591.8734221,1292620,65.0
1549740592.449255,1292758,62.0
1549740595.90911,1293587,110.0
1549740607.7959628,1296463,155.0
1549740613.088753,1297727,36.0
1549740615.5404968,1298299,70.0
1549740630.23763,1301835,41.0
1549740633.929854,1302723,121.0
1549740636.8624902,1303428,50.0
1549740653.4422731,1307385,23.0
1549740665.917863,1310382,123.0
